x=0;x=0;x=3;x=3;x=6;x=6;x=5.8ta;x=5.8ta;x=5.8tb;x=5.8tb;x=5.8aa;x=5.8aa;x=5.8ab;x=5.8ab;x=8.8;x=8.8
I;B;I;B;I;B;I;B;I;B;I;B;I;B;I;B
3.503;0.76;3.503;0.81;3.503;1.02;3.495;-5.13;3.493;-4.04;3.501;4.34;3.503;2.99;1.508;0.93
3.752;0.81;3.752;0.85;3.752;1.14;3.753;-5.58;3.743;-4.35;3.748;4.68;3.747;3.23;1.755;1.12
4.008;0.87;4.008;0.95;4.008;1.25;4.01;-6.05;4.003;-4.73;4.003;5.03;4.002;3.49;2.013;1.33
;;;;;;;;;;;;;;2.254;1.51
;;;;;;;;;;;;;;2.511;1.72
;;;;;;;;;;;;;;2.756;1.91
;;;;;;;;;;;;;;2.99;2.11
;;;;;;;;;;;;;;3.249;2.31
;;;;;;;;;;;;;;3.51;2.51
;;;;;;;;;;;;;;3.743;2.69
;;;;;;;;;;;;;;3.997;2.91
;;;;;;;;;;;;;;4.248;3.11
;;;;;;;;;;;;;;4.498;3.32
